vcf_sample	bed_sample
SAMEA111507587	SAMEA111508608-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507588	SAMEA111508611-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507589	SAMEA111508614-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507590	SAMEA111508617-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507591	SAMEA111508620-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507592	SAMEA111508623-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507593	SAMEA111508626-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507594	SAMEA111508629-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507595	SAMEA111508632-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507596	SAMEA111508635-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507597	SAMEA111508638-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507598	SAMEA111508641-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507599	SAMEA111508644_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507600	SAMEA111508647_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507601	SAMEA111508650_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507602	SAMEA111508653_tsv.txt-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507603	SAMEA111508656-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507604	SAMEA111508659-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507605	SAMEA111508662-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507606	SAMEA111508665-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507607	SAMEA111508668-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507608	SAMEA111508671-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507609	SAMEA111508674-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507610	SAMEA111508677-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507611	SAMEA111508680-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507612	SAMEA111508683-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507613	SAMEA111508686-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507614	SAMEA111508689-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507615	SAMEA111508692-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507616	SAMEA111508695-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507617	SAMEA111508698-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507618	SAMEA111508701-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507619	SAMEA111508704-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507620	SAMEA111508707-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507621	SAMEA111508710-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507622	SAMEA111508713-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507623	SAMEA111508716-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507624	SAMEA111508719-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507625	SAMEA111508722-STARAligned.sortedByCoord.out.unique_rg_added.dedup
SAMEA111507626	SAMEA111508725-STARAligned.sortedByCoord.out.unique_rg_added.dedup
